code;position1;position2;position34;position8;description;JSON
010000.1;0;1;Hypothermie;1;Hypothermie SAI (lésion principale, non liée à un traitement ou séquelle);{ code : 010000.1, position1 : 0, position2 : 1, position34 : Hypothermie, position8 : 1, description : Hypothermie SAI (lésion principale, non liée à un traitement ou séquelle)},
010002.1;0;1;Hypothermie;1;Hypothermie (lésion principale, non liée à un traitement ou séquelle) > 34 à 35°C;{ code : 010002.1, position1 : 0, position2 : 1, position34 : Hypothermie, position8 : 1, description : Hypothermie (lésion principale, non liée à un traitement ou séquelle) > 34 à 35°C},
010004.2;0;1;Hypothermie;2;Hypothermie (lésion principale, non liée à un traitement ou séquelle) 33 à 32°C;{ code : 010004.2, position1 : 0, position2 : 1, position34 : Hypothermie, position8 : 2, description : Hypothermie (lésion principale, non liée à un traitement ou séquelle) 33 à 32°C},
010006.3;0;1;Hypothermie;3;Hypothermie (lésion principale, non liée à un traitement ou séquelle) 31 à 30°C;{ code : 010006.3, position1 : 0, position2 : 1, position34 : Hypothermie, position8 : 3, description : Hypothermie (lésion principale, non liée à un traitement ou séquelle) 31 à 30°C},
010008.4;0;1;Hypothermie;4;Hypothermie (lésion principale, non liée à un traitement ou séquelle) 29 à 28°C;{ code : 010008.4, position1 : 0, position2 : 1, position34 : Hypothermie, position8 : 4, description : Hypothermie (lésion principale, non liée à un traitement ou séquelle) 29 à 28°C},
010010.5;0;1;Hypothermie;5;Hypothermie (lésion principale, non liée à un traitement ou séquelle) < 28°C;{ code : 010010.5, position1 : 0, position2 : 1, position34 : Hypothermie, position8 : 5, description : Hypothermie (lésion principale, non liée à un traitement ou séquelle) < 28°C},
012002.2;0;1;Brûlure;2;Lésion du corps entier (de type explosion) SAI;{ code : 012002.2, position1 : 0, position2 : 1, position34 : Brûlure, position8 : 2, description : Lésion du corps entier (de type explosion) SAI},
012004.2;0;1;Brûlure;2;Lésion du corps entier (de type explosion) mineure ou superficielle de la peau, du tissu sous-cutané et du muscle avec ou sans fracture mineure;{ code : 012004.2, position1 : 0, position2 : 1, position34 : Brûlure, position8 : 2, description : Lésion du corps entier (de type explosion) mineure ou superficielle de la peau, du tissu sous-cutané et du muscle avec ou sans fracture mineure},
012006.4;0;1;Brûlure;4;Lésion du corps entier (de type explosion) majeure ou extensive ( > 25 % SCT) de la peau, du tissu sous-cutané et du muscle avec fractures multiples et (ou) lésion d'organe multiple;{ code : 012006.4, position1 : 0, position2 : 1, position34 : Brûlure, position8 : 4, description : Lésion du corps entier (de type explosion) majeure ou extensive ( > 25 % SCT) de la peau, du tissu sous-cutané et du muscle avec fractures multiples et (ou) lésion d'organe multiple},
012008.6;0;1;Brûlure;6;"Lésion du corps entier (de type explosion) massive; lésion d'organe multiple du cerveau, du thorax et (ou) de l'abdomen avec perte d'au moins un membre et (ou) décapitation";"{ code : 012008.6, position1 : 0, position2 : 1, position34 : Brûlure, position8 : 6, description : Lésion du corps entier (de type explosion) massive; lésion d'organe multiple du cerveau, du thorax et (ou) de l'abdomen avec perte d'au moins un membre et (ou) décapitation},"
020000.3;0;2;Asphyxie;3;Asphyxie, suffocation SAI;{ code : 020000.3, position1 : 0, position2 : 2, position34 : Asphyxie, position8 : 3, description : Asphyxie, suffocation SAI},
020002.3;0;2;Asphyxie;3;Asphyxie, suffocation sans déficit neurologique;{ code : 020002.3, position1 : 0, position2 : 2, position34 : Asphyxie, position8 : 3, description : Asphyxie, suffocation sans déficit neurologique},
020004.4;0;2;Asphyxie;4;Asphyxie, suffocation avec déficit neurologique;{ code : 020004.4, position1 : 0, position2 : 2, position34 : Asphyxie, position8 : 4, description : Asphyxie, suffocation avec déficit neurologique},
020006.5;0;2;Asphyxie;5;Asphyxie, suffocation avec arrêt cardiaque documenté par le personnel médical ou par les ambulanciers;{ code : 020006.5, position1 : 0, position2 : 2, position34 : Asphyxie, position8 : 5, description : Asphyxie, suffocation avec arrêt cardiaque documenté par le personnel médical ou par les ambulanciers},
040099.9;0;4;SAI;9;Substances caustiques, agents nocifs SAI;{ code : 040099.9, position1 : 0, position2 : 4, position34 : SAI, position8 : 9, description : Substances caustiques, agents nocifs SAI},
060000.3;0;6;Noyade;3;Noyade SAI;{ code : 060000.3, position1 : 0, position2 : 6, position34 : Noyade, position8 : 3, description : Noyade SAI},
060002.3;0;6;Noyade;3;Noyade quasi-noyade sans déficit neurologique;{ code : 060002.3, position1 : 0, position2 : 6, position34 : Noyade, position8 : 3, description : Noyade quasi-noyade sans déficit neurologique},
060004.4;0;6;Noyade;4;Noyade quasi-noyade avec déficit neurologique;{ code : 060004.4, position1 : 0, position2 : 6, position34 : Noyade, position8 : 4, description : Noyade quasi-noyade avec déficit neurologique},
060006.5;0;6;Noyade;5;Noyade avec arrêt cardiaque documenté par le personnel médical ou par les ambulanciers;{ code : 060006.5, position1 : 0, position2 : 6, position34 : Noyade, position8 : 5, description : Noyade avec arrêt cardiaque documenté par le personnel médical ou par les ambulanciers},
080000.2;0;8;Electrique;2;Lésion électrique SAI;{ code : 080000.2, position1 : 0, position2 : 8, position34 : Electrique, position8 : 2, description : Lésion électrique SAI},
080002.3;0;8;Electrique;3;Lésion électrique avec nécrose musculaire;{ code : 080002.3, position1 : 0, position2 : 8, position34 : Electrique, position8 : 3, description : Lésion électrique avec nécrose musculaire},
080004.5;0;8;Electrique;5;Lésion électrique avec arrêt cardiaque documenté par le personnel médical ou par les ambulanciers;{ code : 080004.5, position1 : 0, position2 : 8, position34 : Electrique, position8 : 5, description : Lésion électrique avec arrêt cardiaque documenté par le personnel médical ou par les ambulanciers},
100099.9;1;0;Tête;9;Lésions de la tête SAI;{ code : 100099.9, position1 : 1, position2 : 0, position34 : Tête, position8 : 9, description : Lésions de la tête SAI},
100999.9;1;0;Degré de conscience;9;Décès causé par une lésion de la tête sans autre examen ou autopsie confirmant des lésions précises;{ code : 100999.9, position1 : 1, position2 : 0, position34 : Degré de conscience, position8 : 9, description : Décès causé par une lésion de la tête sans autre examen ou autopsie confirmant des lésions précises},
110009.1;1;1;Tête;1;Lésion de la tête SAI avec maux de tête uniquement;{ code : 110009.1, position1 : 1, position2 : 1, position34 : Tête, position8 : 1, description : Lésion de la tête SAI avec maux de tête uniquement},
110099.1;1;1;Cuir chevelu;1;Cuir chevelu SAI;{ code : 110099.1, position1 : 1, position2 : 1, position34 : Cuir chevelu, position8 : 1, description : Cuir chevelu SAI},
110202.1;1;1;Durée de la PC;1;Cuir chevelu abrasion;{ code : 110202.1, position1 : 1, position2 : 1, position34 : Durée de la PC, position8 : 1, description : Cuir chevelu abrasion},
110402.1;1;1;Degré de conscience;1;Cuir chevelu contusion (y compris hématome sous-galéal si âge > 6 mois);{ code : 110402.1, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 1, description : Cuir chevelu contusion (y compris hématome sous-galéal si âge > 6 mois)},
110403.2;1;1;Degré de conscience;2;Cuir chevelu contusion hématome sous-galéal chez les enfants de ≤ 6 mois;{ code : 110403.2, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 2, description : Cuir chevelu contusion hématome sous-galéal chez les enfants de ≤ 6 mois},
110404.3;1;1;Degré de conscience;3;Cuir chevelu contusion hématome sous-galéal chez les enfants de  ≤ 6 mois perte de sang > 20 % en volume chez les enfants de ≤ 6 mois;{ code : 110404.3, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 3, description : Cuir chevelu contusion hématome sous-galéal chez les enfants de  ≤ 6 mois perte de sang > 20 % en volume chez les enfants de ≤ 6 mois},
110600.1;1;1;Degré de conscience;1;Cuir chevelu lacération SAI;{ code : 110600.1, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 1, description : Cuir chevelu lacération SAI},
110602.1;1;1;Degré de conscience;1;"Cuir chevelu lacération mineure; superficielle";"{ code : 110602.1, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 1, description : Cuir chevelu lacération mineure; superficielle},"
110604.2;1;1;Degré de conscience;2;Cuir chevelu lacération majeure ( > 10 cm et atteignant le tissu sous-cutané);{ code : 110604.2, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 2, description : Cuir chevelu lacération majeure ( > 10 cm et atteignant le tissu sous-cutané)},
110606.3;1;1;Degré de conscience;3;Cuir chevelu lacération perte de sang > 20 % en volume;{ code : 110606.3, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 3, description : Cuir chevelu lacération perte de sang > 20 % en volume},
110800.1;1;1;Degré de conscience;1;Cuir chevelu avulsion SAI;{ code : 110800.1, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 1, description : Cuir chevelu avulsion SAI},
110802.1;1;1;Degré de conscience;1;"Cuir chevelu avulsion superficielle; mineure (perte de tissu ≤ 100 cm²)";"{ code : 110802.1, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 1, description : Cuir chevelu avulsion superficielle; mineure (perte de tissu ≤ 100 cm²)},"
110804.2;1;1;Degré de conscience;2;Cuir chevelu avulsion majeure (perte de tissu > 100 cm²);{ code : 110804.2, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 2, description : Cuir chevelu avulsion majeure (perte de tissu > 100 cm²)},
110806.3;1;1;Degré de conscience;3;Cuir chevelu avulsion perte de sang > 20 % en volume;{ code : 110806.3, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 3, description : Cuir chevelu avulsion perte de sang > 20 % en volume},
110808.3;1;1;Degré de conscience;3;Cuir chevelu avulsion perte totale du cuir chevelu;{ code : 110808.3, position1 : 1, position2 : 1, position34 : Degré de conscience, position8 : 3, description : Cuir chevelu avulsion perte totale du cuir chevelu},
113000.6;1;1;Commotion;6;Lésion d'écrasement;{ code : 113000.6, position1 : 1, position2 : 1, position34 : Commotion, position8 : 6, description : Lésion d'écrasement},
115099.9;1;1;Commotion;9;Traumatisme crânien fermé SAI;{ code : 115099.9, position1 : 1, position2 : 1, position34 : Commotion, position8 : 9, description : Traumatisme crânien fermé SAI},
115299.9;1;1;Commotion;9;Lésion cérébrale traumatique SAI;{ code : 115299.9, position1 : 1, position2 : 1, position34 : Commotion, position8 : 9, description : Lésion cérébrale traumatique SAI},
116000.3;1;1;Commotion;3;Lésion par pénétration du crâne SAI;{ code : 116000.3, position1 : 1, position2 : 1, position34 : Commotion, position8 : 3, description : Lésion par pénétration du crâne SAI},
116002.3;1;1;Commotion;3;Lésion par pénétration du crâne superficielle ( ≤ 2 cm de profondeur);{ code : 116002.3, position1 : 1, position2 : 1, position34 : Commotion, position8 : 3, description : Lésion par pénétration du crâne superficielle ( ≤ 2 cm de profondeur)},
116004.5;1;1;Commotion;5;Lésion par pénétration du crâne majeure ( > 2 cm de profondeur);{ code : 116004.5, position1 : 1, position2 : 1, position34 : Commotion, position8 : 5, description : Lésion par pénétration du crâne majeure ( > 2 cm de profondeur)},
120099.9;1;2;Vaisseaux;9;Lésion de vaisseau intracrânien SAI;{ code : 120099.9, position1 : 1, position2 : 2, position34 : Vaisseaux, position8 : 9, description : Lésion de vaisseau intracrânien SAI},
120199.3;1;2;Vaisseaux;3;Artère SAI;{ code : 120199.3, position1 : 1, position2 : 2, position34 : Vaisseaux, position8 : 3, description : Artère SAI},
120202.5;1;2;Durée de la PC;5;Artère cérébrale antérieure lacération;{ code : 120202.5, position1 : 1, position2 : 2, position34 : Durée de la PC, position8 : 5, description : Artère cérébrale antérieure lacération},
120204.3;1;2;Durée de la PC;3;Artère cérébrale antérieure thrombose (occlusion);{ code : 120204.3, position1 : 1, position2 : 2, position34 : Durée de la PC, position8 : 3, description : Artère cérébrale antérieure thrombose (occlusion)},
120205.4;1;2;Durée de la PC;4;Artère cérébrale antérieure thrombose (occlusion) bilatérale;{ code : 120205.4, position1 : 1, position2 : 2, position34 : Durée de la PC, position8 : 4, description : Artère cérébrale antérieure thrombose (occlusion) bilatérale},
120206.3;1;2;Durée de la PC;3;Artère cérébrale antérieure anévrisme traumatique;{ code : 120206.3, position1 : 1, position2 : 2, position34 : Durée de la PC, position8 : 3, description : Artère cérébrale antérieure anévrisme traumatique},
120299.3;1;2;Durée de la PC;3;Artère cérébrale antérieure SAI;{ code : 120299.3, position1 : 1, position2 : 2, position34 : Durée de la PC, position8 : 3, description : Artère cérébrale antérieure SAI},
120402.5;1;2;Degré de conscience;5;Artère basilaire lacération;{ code : 120402.5, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 5, description : Artère basilaire lacération},
120404.5;1;2;Degré de conscience;5;Artère basilaire thrombose (occlusion);{ code : 120404.5, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 5, description : Artère basilaire thrombose (occlusion)},
120406.5;1;2;Degré de conscience;5;Artère basilaire anévrisme traumatique;{ code : 120406.5, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 5, description : Artère basilaire anévrisme traumatique},
120499.4;1;2;Degré de conscience;4;Artère basilaire SAI;{ code : 120499.4, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 4, description : Artère basilaire SAI},
120499.5;1;2;Degré de conscience;5;Artère basilaire SAI;{ code : 120499.5, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 5, description : Artère basilaire SAI},
120602.4;1;2;Degré de conscience;4;Carotide fistule dans le sinus caverneux;{ code : 120602.4, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 4, description : Carotide fistule dans le sinus caverneux},
120603.4;1;2;Degré de conscience;4;Carotide fistule dans le sinus caverneux bilatérale;{ code : 120603.4, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 4, description : Carotide fistule dans le sinus caverneux bilatérale},
120802.4;1;2;Degré de conscience;4;Sinus caverneux lacération;{ code : 120802.4, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 4, description : Sinus caverneux lacération},
120804.5;1;2;Degré de conscience;5;Sinus caverneux lacération ouverte (saignement à l'extérieur) ou destruction d'un segment;{ code : 120804.5, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 5, description : Sinus caverneux lacération ouverte (saignement à l'extérieur) ou destruction d'un segment},
120806.3;1;2;Degré de conscience;3;Sinus caverneux thrombose (occlusion);{ code : 120806.3, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 3, description : Sinus caverneux thrombose (occlusion)},
